names,years
Iron Man,2008
The Incredible Hulk,2008
Iron Man 2,2010
Thor,2011
Captain America: The First Avenger,2011
The Avengers,2012
Iron Man 3,2013
Thor: The Dark World,2013
Captain America: The Winter Soldier,2014
Guardians of the Galaxy,2014
Avengers: Age of Ultron,2015
Ant-Man,2015
Captain America: Civil War,2016
Doctor Strange,2016
Guardians of the Galaxy 2,2017
Spider-Man: Homecoming,2017
Thor: Ragnarok,2017
Black Panther,2017
Avengers: Infinity War,2018
Ant-Man and the Wasp,2018
Captain Marvel,2019
Avengers: Endgame,2019
Spider-Man: Far From Home,2019
WandaVision,2021
Falcon and the Winter Soldier,2021
Loki,2021
Black Widow,2021
Shang-Chi and the Legend of the Ten Rings,2021
Eternals,2021
Hawkeye,2021
Spider-Man: No Way Home,2021