MutualFunds,Return
Amana Income Fund,13.24
Berger One Hundred,12.13
Columbia International Stock,12.17
Dodge & Cox Balanced,16.06
Evergreen Fund,17.61
Fidelity Fund,20.61
Forthis Advtg Cap App,13.38
Founders Blue Chip Fund,17.15
Goldman Core Fixed Income,10.38
Heartland Value,18.15
Janus Fund,15.82
Manstay Cap Appriciation,17.29
Merrill Spec Value,16.42
Mutual Beacon,19.49
Oberweis Emerging Growth,11.06
Paine Webber Growth & Income,13.89
Pimco Total Return,8.43
Prudential Equity,18.29
Putnam Growth & Income,17.8
Royce FD Micro-Cap,17.05
Scudder Development,12.8
Smith Barney Appreciation,15.09
Stein Roe Capital Oppty,19.7
T Rowe Price Balanced,13.57
Thompson Plumb Growth,18.58
USAA Growth & Tax Strat,11.89
Vanguard Equity Income,19
Vanguard Windsor,20.71
Vontobel Intl Equity,13.56
Weith Value,19.82